symbol,date,open_price,high_price,low_price,close_price,volume,adjusted_close,price_range,price_change,price_change_pct,volume_millions,price_volatility,price_momentum,price_gap,volume_normalized,volume_log,volume_price_ratio,price_volume_trend,day_of_week,is_monday,is_friday
DD,2025-07-14,75.08,75.32,74.08,74.86,3136800,,1.2399999999999949,-0.21999999999999886,-0.2930207778369724,3.1368,0.016515716568993005,-0.2930207778369724,,0.4654074986275761,14.958714048756434,41.90221747261555,-4.383214026007457,0,1,0
DE,2025-07-14,512.5,512.78,502.13,507.61,1087100,,10.649999999999977,-4.889999999999986,-0.954146341463412,1.0871,0.020780487804878005,-0.954146341463412,,0.16129319426104244,13.899025078070245,2.1416047753196352,-13.26170392814894,0,1,0
DUK,2025-07-14,116.4434,117.5835,115.7295,116.9193,2684800,,1.8539999999999992,0.47590000000001,0.4086964138800568,2.6848,0.015921898536112818,0.4086964138800568,,0.39834418908292407,14.803117167722178,22.9628470235453,6.049980900694357,0,1,0
ECL,2025-07-14,266.0,268.49,264.92,268.23,949200,,3.569999999999993,2.230000000000018,0.8383458646616609,0.9492,0.013421052631578922,0.8383458646616609,,0.1408329500437692,13.763375857061943,3.538754054356336,11.538469233552023,0,1,0
EOG,2025-07-14,121.6037,121.9905,120.1755,121.5938,3074500,,1.8149999999999977,-0.009900000000001796,-0.008141199650998937,3.0745,0.014925532693495327,-0.008141199650998937,,0.4561640380421074,14.938653169631747,25.285006307887407,-0.12161855797100014,0,1,0
GE,2025-07-14,256.19,262.46,256.0,262.34,7502200,,6.4599999999999795,6.149999999999977,2.400562082829141,7.5022,0.025215660252156522,2.400562082829141,,1.1131025682873632,15.830707002120286,28.597240222611877,38.00259497366775,0,1,0
GOOGL,2025-07-14,181.01,183.67,179.68,181.56,32536600,,3.9899999999999807,0.5500000000000114,0.3038506159880733,32.5366,0.02204298105077057,0.3038506159880733,,4.827460348076381,17.297876198245167,179.20577219651906,5.255970338122225,0,1,0
GS,2025-07-14,704.74,713.43,702.13,713.3,1909300,,11.299999999999955,8.559999999999945,1.2146323466810378,1.9093,0.016034282146607196,1.2146323466810378,,0.28328313476461076,14.46224776445358,2.676713865133885,17.566313940420844,0,1,0
HD,2025-07-14,370.48,371.29,366.45,370.11,2481100,,4.840000000000032,-0.37000000000000455,-0.09987043835024954,2.4811,0.013064133016627164,-0.09987043835024954,,0.3681211887416727,14.724212971236708,6.703682688930318,-1.4705136037998403,0,1,0
HON,2025-07-14,235.2752,237.5434,233.4149,236.8271,2911200,,4.1285000000000025,1.5518999999999892,0.6596105326868233,2.9112,0.017547535821880088,0.6596105326868233,,0.431935191916794,14.88407626878099,12.292512132268646,9.817693476201935,0,1,0
JNJ,2025-07-14,155.7269,156.3226,154.3868,155.6773,10185600,,1.9358000000000004,-0.04959999999999809,-0.03185063081586938,10.1856,0.012430736115597243,-0.03185063081586938,,1.5112390391548836,16.136485614247725,65.42765065940893,-0.5139572459649915,0,1,0
JPM,2025-07-14,287.07,289.3,285.26,288.7,9079900,,4.0400000000000205,1.6299999999999955,0.5678057616609173,9.0799,0.014073222558957817,0.5678057616609173,,1.347186160032048,16.021573847434336,31.450987183927953,9.097141941449086,0,1,0
KO,2025-07-14,69.8,70.08,69.27,69.47,13983200,,0.8100000000000023,-0.3299999999999983,-0.4727793696275047,13.9832,0.011604584527220664,-0.4727793696275047,,2.0746895354530484,16.4533672385174,201.28400748524544,-7.778812591276095,0,1,0
LIN,2025-07-14,468.43,470.0,466.3,468.78,1133000,,3.6999999999999886,0.3499999999999659,0.07471767393206369,1.133,0.007898725529961763,0.07471767393206369,,0.16810338432320954,13.940380422622287,2.4169119842996714,1.0415927989064162,0,1,0
MCD,2025-07-14,299.18,302.07,294.83,301.88,5707500,,7.240000000000009,2.6999999999999886,0.9024667424293029,5.7075,0.02419947857477107,0.9024667424293029,,0.8468226531550913,15.557291832594132,18.9065191466808,14.039938481183226,0,1,0
META,2025-07-14,717.6,728.0,716.55,720.92,8939400,,11.450000000000045,3.3199999999999363,0.46265328874023637,8.9394,0.015955964325529606,0.46265328874023637,,1.326340153414739,16.00597914266781,12.399988903068301,7.405218889862892,0,1,0
MLM,2025-07-14,563.29,566.55,558.43,564.82,400400,,8.120000000000005,1.5300000000000864,0.2716185268689461,0.4004,0.014415310053436072,0.2716185268689461,,0.05940740960548376,12.900221823922582,0.7088984101129563,3.5039392480964806,0,1,0
MRK,2025-07-14,83.43,84.3,83.11,83.67,10368700,,1.1899999999999977,0.23999999999999488,0.28766630708377666,10.3687,0.014263454392904202,0.28766630708377666,,1.538405614326622,16.154302307171328,123.9237480578463,4.647048488218909,0,1,0
MS,2025-07-14,141.4672,143.0561,141.0203,142.9767,5376100,,2.0357999999999947,1.5095000000000027,1.0670317925285882,5.3761,0.014390614926993641,1.0670317925285882,,0.7976527841659372,15.497473948211026,37.601231529333106,16.53629740662471,0,1,0
MSFT,2025-07-14,500.6969,503.1429,500.2077,502.1944,12058800,,2.935200000000009,1.4974999999999454,0.2990831379223529,12.0588,0.005862229224906343,0.2990831379223529,,1.7891660113651537,16.305305324752037,24.012215189974242,4.876641881308889,0,1,0
NEE,2025-07-14,74.4,75.83,74.17,75.04,10420500,,1.6599999999999966,0.6400000000000006,0.8602150537634415,10.4205,0.0223118279569892,0.8602150537634415,,1.5460911882965622,16.159285673747863,138.8659381663113,13.900460794621829,0,1,0
NEM,2025-07-14,60.01,61.17,60.01,60.82,9513900,,1.1600000000000037,0.8100000000000023,1.349775037493755,9.5139,0.01933011164805872,1.349775037493755,,1.4115788068072226,16.068264550202336,156.42716211772444,21.68854238570893,0,1,0
NFLX,2025-07-14,1244.91,1270.49,1240.0,1261.95,2781000,,30.49000000000001,17.039999999999964,1.3687736462876803,2.781,0.02449173032588702,1.3687736462876803,,0.4126173978842416,14.83832149279892,2.2037323190300726,20.310303414487233,0,1,0
NVDA,2025-07-14,165.37,165.49,162.02,164.07,136975800,,3.469999999999999,-1.3000000000000114,-0.7861159823426325,136.9758,0.020983249682530077,-0.7861159823426325,,20.32312052107598,18.735314833154096,834.861949168038,-14.728130424563425,0,1,0
ORCL,2025-07-14,229.45,230.64,225.12,229.28,11337000,,5.519999999999982,-0.1699999999999875,-0.07409021573326978,11.337,0.024057528873392818,-0.07409021573326978,,1.6820724343091145,16.24358235920649,49.44609211444522,-1.203490521274744,0,1,0
PEP,2025-07-14,134.75,135.88,133.86,135.57,8480300,,2.019999999999982,0.8199999999999932,0.6085343228200321,8.4803,0.014990723562151998,0.6085343228200321,,1.2582234157776822,15.953256502421162,62.55292468835288,9.708104142475134,0,1,0
PFE,2025-07-14,25.1461,25.1952,24.9102,24.92,25918000,,0.28500000000000014,-0.22609999999999886,-0.899145394315615,25.918,0.011333765474566639,-0.899145394315615,,3.8454576477395808,17.07044830456072,1040.048154093098,-15.34881497194857,0,1,0
PG,2025-07-14,154.5233,154.7418,151.8217,152.7156,11491700,,2.9201000000000192,-1.8077000000000112,-1.16985593758353,11.4917,0.01889747371432023,-1.16985593758353,,1.7050252971112332,16.257135680643295,75.24902498500481,-19.018506704101622,0,1,0
PLD,2025-07-14,108.38,109.53,108.09,109.35,3582000,,1.4399999999999977,0.9699999999999989,0.8949990773205377,3.582,0.013286584240634784,0.8949990773205377,,0.5314618911259811,15.091432140776401,32.757201646090536,13.506817841440387,0,1,0
SBUX,2025-07-14,93.0659,93.3441,91.6652,92.8076,6048300,,1.6788999999999987,-0.2583000000000055,-0.27754526631129717,6.0483,0.01803990505652445,-0.27754526631129717,,0.8973872015905281,15.615287964121613,65.17030932811538,-4.333949256529727,0,1,0
SLB,2025-07-14,37.02,37.12,35.96,36.22,12686400,,1.1599999999999966,-0.8000000000000043,-2.160994057266354,12.6864,0.031334413830361875,-2.160994057266354,,1.8822831199275953,16.356041190324838,350.2595251242407,-35.34530781269568,0,1,0
SO,2025-07-14,91.8914,92.5561,91.3953,91.9509,7698600,,1.1607999999999947,0.059499999999999886,0.06475034660479641,7.6986,0.012632302914092012,0.06475034660479641,,1.1422424665054378,15.856549182004903,83.72511851433754,1.0267170554908185,0,1,0
